Nome,CEP,Endereço,Cidade,Estado,Status
"JOAO ANTONIO FRANCIOSI","64868-000","Sem endereço","BAIXA GRANDE DO RIBEIRO","","Pendente"
"JOBSON VIEIRA DE BRITO","58884-000","Sem endereço","CATOLÉ DO ROCHA","","Pendente"
"JOIGNY","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"JOMAR IND. COM. IMP. E EXP. LTDA","63040-000","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"JOONGBO QUIMICA DO BRASIL LTDA EM RECUPERACAO JUDICIAL","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"JOSE ADIONDAS S BEZERRA","","Sem endereço","FORTALEZA","","Pendente"
"JOSE ELIANDRO DOS SANTOS","01451-001","Sem endereço","SÃO PAULO","","Pendente"
"JOSE NORMANDO GOMES DINIZ","60170-014","Sem endereço","FORTALEZA","","Pendente"
"JOSELITO  BENEDITTO","61809-320","Sem endereço","PACATUBA","","Pendente"
"JOTADOIS","61616-000","Sem endereço","CAUCAIA","","Pendente"
"JR EMBALAGENS","60732-755","Sem endereço","FORTALEZA","","Pendente"
"JRC INDUSTRIA DE ARAMADOS LTDA","62884-805","Sem endereço","HORIZONTE","","Pendente"
"JS NARDY.MOTORES","13171-105","Sem endereço","SUMARÉ","","Pendente"
"JUAPLAST INDUSTRIA E COMERCIO DE ARTEFATOS PLASTICOS LTDA","63040-380","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"JUPARANA COMERCIAL AGRICOLA LTDA","68625-970","Sem endereço","PARAGOMINAS","","Pendente"
"JUPI ALIMENTOS","64035-180","Sem endereço","TERESINA","","Pendente"
"Jasmin Industria e Comercio de Papeis LTDA","61880-000","Sem endereço","ITAITINGA","","Pendente"
"K2 PLASTICOS INDUSTRIA E COMERCIOS- KIBOPLAST","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"KAF COMERCIO E SERVICOS","65110-000","Sem endereço","SÃO JOSÉ DE RIBAMAR","","Pendente"
"KALLI INDUSTRIA E SERVICOS LTDA","65095-460","Sem endereço","SÃO LUÍS","","Pendente"
"KAMINI ENERGY SOLUTIONS LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"KANAFLEX DO NORDESTE INDUSTRIA E COMERCIO LTDA","61939-000","Sem endereço","MARACANAÚ","","Pendente"
"KAPLAST","63180-000","Sem endereço","BARBALHA","","Pendente"
"KAZZIR INDUSTRIA E COMERCIO EIRELI EPP","63133-608","Sem endereço","CRATO","","Pendente"
"KGL SERVICE","13155-462","Sem endereço","COSMÓPOLIS","","Pendente"
"KIBO PLASTICOS","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"KIFLEX MANGUEIRAS E CONEXOES","61642-000","Sem endereço","CAUCAIA","","Pendente"
"KIFRIO COMERCIO DE PECAS PARA REFRIGERACAO LTDA","60720-600","Sem endereço","FORTALEZA","","Pendente"
"KINCCAL","63180-000","Sem endereço","BARBALHA","","Pendente"
"KING PLASTIC INDUSTRIA E COMERCIO LTDA","61890-000","Sem endereço","GUAIUBA","","Pendente"
"KINGSPAN - ISOESTE CONSTRUTIVOS ISOTERMICOS S/A","55613-010","Sem endereço","VITÓRIA DE SANTO ANTÃO","","Pendente"
"KIRIUS INDUSTRIA","62560-000","Sem endereço","MARCO","","Pendente"
"KIRIUS MOVEIS","62560-000","Sem endereço","MARCO","","Pendente"
"KITS CABA BOM","61890-000","Sem endereço","GUAIUBA","","Pendente"
"KLABIN S.A.","55900-000","Sem endereço","GOIANA","","Pendente"
"KLABIN S.A. - HORIZONTE/CE","62881-315","Sem endereço","HORIZONTE","","Pendente"
"KLABIN S.A. - Mossoro/RN","59607-315","Sem endereço","MOSSORÓ","","Pendente"
"KLABIN SP","13432-700","Sem endereço","PIRACICABA","","Pendente"
"KLC INDUSTRIAL","62903-000","Sem endereço","RUSSAS","","Pendente"
"KONKRETINTAS - HORIZONTE","62850-000","Sem endereço","CASCAVEL","","Pendente"
"KSA DO PERFIL","60720-000","Sem endereço","FORTALEZA","","Pendente"
"KZA DAS CÓPIAS","60833-005","Sem endereço","FORTALEZA","","Pendente"
"Kazoly Natureza LTDA","64002-450","Sem endereço","TERESINA","","Pendente"
"L C L COMERCIO E INDUSTRIA DE PLASTICOS LTDA","60170-001","Sem endereço","FORTALEZA","","Pendente"
"L. & L. INDUSTRIA DE CALCADOS E COMPONENTES LTDA","63049-280","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"L. C. G. LUMINARIAS","61921-500","Sem endereço","MARACANAÚ","","Pendente"
"LA VIE VEICULOS","61925-660","Sem endereço","MARACANAÚ","","Pendente"
"LABORATORIO INDUSTRIAL FARMACEUTICO SOBRAL","64800-062","Sem endereço","FLORIANO","","Pendente"
"LABORATORIO MADREVITA LTDA","60310-003","Sem endereço","FORTALEZA","","Pendente"
"LABORATORIO NEW CONCEPT","60115-001","Sem endereço","FORTALEZA","","Pendente"
"LABOTRAT","61775-880","Sem endereço","EUSÉBIO","","Pendente"
"LAMINACAO VALE JAGUARIBE LTDA","61616-050","Sem endereço","CAUCAIA","","Pendente"
"LAMINAX","60192-022","Sem endereço","FORTALEZA","","Pendente"
"LAMINOR","58884-000","Sem endereço","CATOLÉ DO ROCHA","","Pendente"
"LANLAN INDUSTRIA DE ALIMENTOS","60751-400","Sem endereço","FORTALEZA","","Pendente"
"LANLAN INDUSTRIA E COMERCIO DE ALIMENTOS","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"LASSA","62051-315","Sem endereço","SOBRAL","","Pendente"
"LATICINIOS EUSEBIO","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"LAV DENIM","61922-050","Sem endereço","MARACANAÚ","","Pendente"
"LAVANDERIA JOATI - HOUSEKEEPING SERVICOS EM HOTEIS LTDA","62897-000","Sem endereço","HORIZONTE","","Pendente"
"LAVANDERIA SANTO ANDRE","59280-000","Sem endereço","MACAÍBA","","Pendente"
"LAVANDERIA WASHMACHINE","61922-165","Sem endereço","MARACANAÚ","","Pendente"
"LAVARE GESTÃO TEXTIL EIRELI","65090-272","Sem endereço","SÃO LUÍS","","Pendente"
"LAVEBRAS GESTAO DE TEXTEIS S.A.","65130-000","Sem endereço","PAÇO DO LUMIAR","","Pendente"
"LAVEBRAS GESTAO DE TEXTEIS S.A.","53411-000","Sem endereço","PAULISTA","","Pendente"
"LC INDUSTRIA E COMERCIO DE CONFECCOES EIRELI","63939-000","Sem endereço","MARACANAÚ","","Pendente"
"LD EQUIPAMENTOS, INSTALACOES INDUSTRIAIS E MANUTENCAO LTDA","07023-000","Sem endereço","GUARULHOS","","Pendente"
"LDB TRANSPORTES DE CARGAS LTDA","61880-000","Sem endereço","ITAITINGA","","Pendente"
"LEITE CARAUBA","61625-350","Sem endereço","CAUCAIA","","Pendente"
"LEITE LONGA","64216-020","Sem endereço","PARNAÍBA","","Pendente"
"LEITE MARANGUAPE","62980-000","Sem endereço","IRACEMA","","Pendente"
"LEME COMPRESSORES LTDA","03444-000","Sem endereço","SÃO PAULO","","Pendente"
"LEMOS ENGENHARIA LTDA","52061-050","Sem endereço","RECIFE","","Pendente"
"LEO PALLETS","61890-970","Sem endereço","GUAIUBA","","Pendente"
"LEO SA DESIGNER E COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA","60025-001","Sem endereço","FORTALEZA","","Pendente"
"LEY COLCHÕES","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"LIDER LIMPEZA ESPECIALIZADA","60055-364","Sem endereço","FORTALEZA","","Pendente"
"LIDER RACOES","62800-000","Sem endereço","ARACATI","","Pendente"
"LIEBE","60526-640","Sem endereço","FORTALEZA","","Pendente"
"LIFE PLAST","60170-172","Sem endereço","FORTALEZA","","Pendente"
"LIGNIS","60873-205","Sem endereço","FORTALEZA","","Pendente"
"LIMPA FACIL","61880-000","Sem endereço","ITAITINGA","","Pendente"
"LINHAS E CORES COMERCIO E INDUSTRIA","60743-820","Sem endereço","FORTALEZA","","Pendente"
"LION MINING SERVICOS E COMERCIO","64260-000","Sem endereço","PIRIPIRI","","Pendente"
"LISBOA","60540-445","Sem endereço","FORTALEZA","","Pendente"
"LISIEUX INDUSTRIAL","61605-600","Sem endereço","CAUCAIA","","Pendente"
"LITORAL","60730-085","Sem endereço","FORTALEZA","","Pendente"
"LIZ EMBALAGEM","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"LL EMPACOTADORA","61922-170","Sem endereço","MARACANAÚ","","Pendente"
"LN INDUSTRIA DE ARGAMASSAS LTDA","62860-000","Sem endereço","PINDORETAMA","","Pendente"
"LOCALIZA RENT A CAR","60741-900","Sem endereço","FORTALEZA","","Pendente"
"LOCKER BLINDAGEM","60181-055","Sem endereço","FORTALEZA","","Pendente"
"LOCMED","60842-120","Sem endereço","FORTALEZA","","Pendente"
"LOJA NAGEM SHOPPING PARANGABA","60740-020","Sem endereço","FORTALEZA","","Pendente"
"LOJAO 4X4","65055-285","Sem endereço","SÃO LUÍS","","Pendente"
"LOJAO DO GESSEIRO","56280-000","Sem endereço","ARARIPINA","","Pendente"
"LOJAS AMERICANAS","60720-096","Sem endereço","FORTALEZA","","Pendente"
"LSC - LOCACAO DE EQUIPAMENTOS E SERVICOS LTDA","61616-025","Sem endereço","CAUCAIA","","Pendente"
"LT SOLUCOES TECNOLOGICAS","60872-280","Sem endereço","FORTALEZA","","Pendente"
"LUBRIFICANTES E DER DE PETROLEO DO NORDESTE - LUBNOR","60180-420","Sem endereço","FORTALEZA","","Pendente"
"LUCIANO ANDREY MERLOTTO","61771-907","Sem endereço","EUSÉBIO","","Pendente"
"LUCIANO COMPRESSORES","60762-591","Sem endereço","FORTALEZA","","Pendente"
"LUCIO TEIXEIRA LIRA - EPP (L LAV)","60410-260","Sem endereço","FORTALEZA","","Pendente"
"LUME INDUSTRIA QUIMICA E COMERCIO","59623-300","Sem endereço","MOSSORÓ","","Pendente"
"LUNAR INDUSTRIA COMERCIO E RECICLAGEM DE PLASTICOS","60765-040","Sem endereço","FORTALEZA","","Pendente"
"LUNELLI TEXTIL NORDESTE LTDA","61906-010","Sem endereço","MARACANAÚ","","Pendente"
"LUPO NORDESTE LTDA","61809-320","Sem endereço","PACATUBA","","Pendente"
"Lapidary Vidraçaria","61946-005","Sem endereço","MARANGUAPE","","Pendente"
"Lupo - SCALINA LTDA","61939-130","Sem endereço","MARACANAÚ","","Pendente"
"Lv Oliveira Industria de Bolsas LTDA","61880-000","Sem endereço","FORTALEZA","","Pendente"
"M DIAS BRANCO BENTO GONCALVES","95700-592","Sem endereço","BENTO GONÇALVES","","Pendente"
"M DIAS BRANCO FABRICA FORTALEZA","61766-650","Sem endereço","EUSÉBIO","","Pendente"
"M DIAS BRANCO GME","60180-560","Sem endereço","FORTALEZA","","Pendente"
"M DIAS BRANCO MARACANAU","61939-120","Sem endereço","MARACANAÚ","","Pendente"
"M.D. DE CARVALHO ROSADO - ME","59609-007","Sem endereço","MOSSORÓ","","Pendente"
"M2 SERVICOS E COMERCIO LTDA","60750-020","Sem endereço","FORTALEZA","","Pendente"
"M3 PREMOLDADOS","61890-000","Sem endereço","GUAIUBA","","Pendente"
"MACH MAQUINAS","61626-450","Sem endereço","CAUCAIA","","Pendente"
"MADEFORM","63505-005","Sem endereço","IGUATU","","Pendente"
"MADEFORT","60711-442","Sem endereço","FORTALEZA","","Pendente"
"MADEIREIRA GEOVANE","60545-350","Sem endereço","FORTALEZA","","Pendente"
"MADEIREIRA GEOVANE ATACADOS","60545-350","Sem endereço","FORTALEZA","","Pendente"
"MADEIREIRA ITAIPU LTDA","60740-020","Sem endereço","FORTALEZA","","Pendente"
"MADEIREIRA MARINHO","60736-330","Sem endereço","FORTALEZA","","Pendente"
"MADEIREIRA SAO MARCOS","62560-000","Sem endereço","MARCO","","Pendente"
"MADRESILVA INDUSTRIA DE MOVEIS LTDA","62560-000","Sem endereço","MARCO","","Pendente"
"MAFORT SERVIÇOS","60763-005","Sem endereço","FORTALEZA","","Pendente"
"MAFRENSE","64038-100","Sem endereço","TERESINA","","Pendente"
"MAGNA LOCACOES LTDA","60055-364","Sem endereço","FORTALEZA","","Pendente"
"MAGNESITA MINERACAO S.A.","38001-970","Sem endereço","UBERABA","","Pendente"
"MAGNESITA REFRATARIOS S.A","32210-050","Sem endereço","CONTAGEM","","Pendente"
"MAGNESIUM DO BRASIL LTDA","63580-000","Sem endereço","JUCÁS","","Pendente"
"MAIA EMPREENDIMENTOS METALICOS LTDA","61766-740","Sem endereço","EUSÉBIO","","Pendente"
"MAIS SABOR","60410-622","Sem endereço","FORTALEZA","","Pendente"
"MAIS SABOR BEBIDAS","61800-100","Sem endereço","PACATUBA","","Pendente"
"MAIS SABOR MINERACAO LTDA","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"MAJE DO NORDESTE INDUSTRIA E COMERCIO DE MATERIAIS ELETRICOS","54737-200","Sem endereço","SÃO LOURENÇO DA MATA","","Pendente"
"MALACARNE PARTICIPACOES S/A","29148-115","Sem endereço","CARIACICA","","Pendente"
"MALHARIA PAULISTA INDUSTRIA E COMERCIO DE TECIDOS LTDA","60055-401","Sem endereço","FORTALEZA","","Pendente"
"MALLORY","61946-345","Sem endereço","MARANGUAPE","","Pendente"
"MALWEE MALHAS LTDA","62870-000","Sem endereço","PACAJUS","","Pendente"
"MANDACARU COMERCIAL LTDA","61880-000","Sem endereço","ITAITINGA","","Pendente"
"MAP INFORMATICA","60431-084","Sem endereço","FORTALEZA","","Pendente"
"MAPAMAR COMERCIO E SERVICOS LTDA","20921-270","Sem endereço","RIO DE JANEIRO","","Pendente"
"MAQ LAV BENEFICIAMENTO TEXTIL LTDA","62884-190","Sem endereço","HORIZONTE","","Pendente"
"MAQMOTORES","60520-022","Sem endereço","FORTALEZA","","Pendente"
"MAR - MARACANAU RECICLAGEM","61939-160","Sem endereço","MARACANAÚ","","Pendente"
"MARACANAU GERADORA DE ENERGIA","61931-060","Sem endereço","MARACANAÚ","","Pendente"
"MARAMBAIA","62115-000","Sem endereço","FORQUILHA","","Pendente"
"MARAMBAIA","60330-530","Sem endereço","FORTALEZA","","Pendente"
"MARANATA INDUSTRIA E COMERCIO DE SAL","59668-000","Sem endereço","PORTO DO MANGUE","","Pendente"
"MARANATA SALINEIRA DO BRASIL LTDA","59615-255","Sem endereço","MOSSORÓ","","Pendente"
"MARBELLE LINGERIE","62340-000","Sem endereço","FRECHEIRINHA","","Pendente"
"MARCIO LEANDRO DA SILVA RIBEIRO","63475-000","Sem endereço","JAGUARIBE","","Pendente"
"MARCOM","60035-161","Sem endereço","FORTALEZA","","Pendente"
"MARCOS ANTONIO DUTRA","","Sem endereço","FORTALEZA","","Pendente"
"MARFALOC","60843-260","Sem endereço","FORTALEZA","","Pendente"
"MARIA CRISTIANE ALVES DE SOUSA","63800-000","Sem endereço","QUIXERAMOBIM","","Pendente"
"MARIA CRISTIANE DOS SANTOS GERMANO TRANSPORTES - M","06075-090","Sem endereço","OSASCO","","Pendente"
"MARILAN NORDESTE INDUSTRIA DE ALIMENTOS LTDA","53652-015","Sem endereço","IGARASSU","","Pendente"
"MARILUX","59607-076","Sem endereço","MOSSORÓ","","Pendente"
"MARINA DE IRACEMA PARK S A","60191-070","Sem endereço","FORTALEZA","","Pendente"
"MARINA DE NOVAIS REGIS PEREIRA","63048-185","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"MARINAR","59623-320","Sem endereço","MOSSORÓ","","Pendente"
"MARMOART INDUSTRIA E COMERCIO DE MARMORES LTDA-ME","55660-000","Sem endereço","BEZERROS","","Pendente"
"MARTEXTIL","62850-000","Sem endereço","CASCAVEL","","Pendente"
"MASSA FORTE FABRICACAO DE PRODUTOS ALIMENTICIOS LTDA","60873-053","Sem endereço","FORTALEZA","","Pendente"
"MASSAS JUCURUTU","59330-000","Sem endereço","JUCURUTU","","Pendente"
"MASTER PNEUMATICAS","61923-105","Sem endereço","MARACANAÚ","","Pendente"
"MASTERQUIP COMERCIO DE EQUIP INDUSTRIAIS LTDA","60824-115","Sem endereço","FORTALEZA","","Pendente"
"MASTROTTO BRASIL S/A","44300-000","Sem endereço","CACHOEIRA","","Pendente"
"MATHEUS DA COSTA MIRANDA","61600-690","Sem endereço","CAUCAIA","","Pendente"
"MATRIZ CIA MÁQUINAS","01234-000","Sem endereço","SÃO PAULO","","Pendente"
"MATSUDA RACOES","62670-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"MAXFUSION INDUSTRIA DE ALUMINIOS","51210-001","Sem endereço","RECIFE","","Pendente"
"MAXIMAPLASTIC","62887-350","Sem endereço","HORIZONTE","","Pendente"
"MAXX MOLDE","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"MBA USINAGEM E ESTAMPARIA LTDA","61905-000","Sem endereço","MARACANAÚ","","Pendente"
"MBABRASIL INDUSTRIA E COMERCIO DE TUBOS E CONEXOES","61910-000","Sem endereço","MARACANAÚ","","Pendente"
"MC3 ADMINISTRACAO E HIGIENIZACAO TEXTIL LTDA","88034-050","Sem endereço","FLORIANÓPOLIS","","Pendente"
"MCM MONTAGENS INDUSTRIAIS","65076-090","Sem endereço","SÃO LUÍS","","Pendente"
"MECAINOX","13990-000","Sem endereço","ESPÍRITO SANTO DO PINHAL","","Pendente"
"MECESA EMBALAGENS S/A","61800-100","Sem endereço","PACATUBA","","Pendente"
"MECREL MEDEIROS COMERCIO E SERVIÇOS LTDA EPP","60526-720","Sem endereço","FORTALEZA","","Pendente"
"MEDTEX","61768-780","Sem endereço","EUSÉBIO","","Pendente"
"MEGALASER","13360-000","Sem endereço","CAPIVARI","","Pendente"
"MEIRA LINS LTDA","51150-000","Sem endereço","RECIFE","","Pendente"
"MELBROS INDUSTRIA E COMERCIO DE CALCADOS LTDA","63660-000","Sem endereço","TAUÁ","","Pendente"
"MELOC - LOCACAO DE EQUIPAMENTOS LTDA","60844-100","Sem endereço","FORTALEZA","","Pendente"
"MENDES E BARCELOS LTDA","89220-801","Sem endereço","JOINVILLE","","Pendente"
"MERCEARIA PADRE CICERO","60712-055","Sem endereço","FORTALEZA","","Pendente"
"MERCOSAL ALIMENTOS LTDA - REFIMOSAL","59675-000","Sem endereço","GROSSOS","","Pendente"
"MERCOSAL INDUSTRIA COMERCIO E REFINACAO DE SAL LTDA","59655-000","Sem endereço","AREIA BRANCA","","Pendente"
"MERCURIO ALIMENTOS S/A","68745-000","Sem endereço","CASTANHAL","","Pendente"
"MERI POBO","62823-000","Sem endereço","JAGUARUANA","","Pendente"
"MERI POBO","62930-000","Sem endereço","LIMOEIRO DO NORTE","","Pendente"
"MESSER GASES LTDA.","61939-120","Sem endereço","MARACANAÚ","","Pendente"
"METAIS SPINDOLA","62053-105","Sem endereço","SOBRAL","","Pendente"
"METAL ARTE CONSTRUCOES LTDA","60861-635","Sem endereço","FORTALEZA","","Pendente"
"METAL LESTE LTDA","60330-050","Sem endereço","FORTALEZA","","Pendente"
"METALGRAFICA CEARENSE S A MECESA","60320-270","Sem endereço","FORTALEZA","","Pendente"
"METALIX","61767-690","Sem endereço","EUSÉBIO","","Pendente"
"METALLOCK","60831-260","Sem endereço","FORTALEZA","","Pendente"
"METALMECANICA MAIA LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"METALNOX IMPORTACAO E EXPORTACAO","89258-001","Sem endereço","JARAGUÁ DO SUL","","Pendente"
"METALURGICA L C R LTDA","60811-770","Sem endereço","FORTALEZA","","Pendente"
"METALUZ - IND. LTDA","63024-830","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"METALVI","61888-261","Sem endereço","ITAITINGA","","Pendente"
"METALVI INDUSTRIA E COMERCIO DE FERRAGENS LTDA","61880-000","Sem endereço","ITAITINGA","","Pendente"
"METROFOR","60010-010","Sem endereço","FORTALEZA","","Pendente"
"MEXICHEM BRASIL INDUSTRIA DE TRANSFORMACAO PLASTICA LTDA","54590-000","Sem endereço","CABO DE SANTO AGOSTINHO","","Pendente"
"MGA E SULFLON","60765-242","Sem endereço","FORTALEZA","","Pendente"
"MGJ PECAS MATERIAIS E SERVICOS","59280-000","Sem endereço","MACAÍBA","","Pendente"
"MHL CALCADOS LTDA","45992-694","Sem endereço","TEIXEIRA DE FREITAS","","Pendente"
"MIL PLASTIC","61925-310","Sem endereço","MARACANAÚ","","Pendente"
"MILGRAN GRANITOS LTDA","29800-000","Sem endereço","BARRA DE SÃO FRANCISCO","","Pendente"
"MILL MOVEIS","60745-580","Sem endereço","FORTALEZA","","Pendente"
"MILLS ESTRUTURAS E SERVICOS DE ENGENHARIA S/A","60874-502","Sem endereço","FORTALEZA","","Pendente"
"MINA PEDRA BRANCA","63190-000","Sem endereço","SANTANA DO CARIRI","","Pendente"
"MINALBA ALIMENTOS E BEBIDAS LTDA","12460-000","Sem endereço","CAMPOS DO JORDÃO","","Pendente"
"MINAS PARK DIVERSOES E LAZER","59604-140","Sem endereço","MOSSORÓ","","Pendente"
"MINER, MINERCONSULT, SNC-LAVALIN DO BRASIL, SNC-LAVALIN","30494-170","Sem endereço","BELO HORIZONTE","","Pendente"
"MINERA7","61774-110","Sem endereço","EUSÉBIO","","Pendente"
"MINERACAO AURIZONA S/A","65285-000","Sem endereço","GODOFREDO VIANA","","Pendente"
"MINERACAO MILIANE LTDA","62823-000","Sem endereço","JAGUARUANA","","Pendente"
"MINERADORA DE AGUA LIMPIDA LTDA.","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"MISS INTIMA LINGERIE","61943-460","Sem endereço","MARANGUAPE","","Pendente"
"MITO VEICULOS","60811-341","Sem endereço","FORTALEZA","","Pendente"
"MIX DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA","62860-000","Sem endereço","PINDORETAMA","","Pendente"
"MM DA SILVA SERVICOS","60050-220","Sem endereço","FORTALEZA","","Pendente"
"MM ROTULOS E ETIQUETAS","60850-012","Sem endereço","FORTALEZA","","Pendente"
"MMC METAL MECANICA CARAJAS LTDA","64038-100","Sem endereço","TERESINA","","Pendente"
"MOAB","60140-100","Sem endereço","FORTALEZA","","Pendente"
"MOAGEIRA SERRA GRANDE LTDA","62051-060","Sem endereço","SOBRAL","","Pendente"
"MOCA FLOR","60713-065","Sem endereço","FORTALEZA","","Pendente"
"MODELO MOVEIS","64076-038","Sem endereço","TERESINA","","Pendente"
"MODULON SERVICOS LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"MOHAVE INDUSTRIA DE PLASTICOS EIRELI","61631-210","Sem endereço","CAUCAIA","","Pendente"
"MOINHOS CRUZEIRO DO SUL S A - São Luis - MA","65085-370","Sem endereço","SÃO LUÍS","","Pendente"
"MONDELEZ BRASIL LTDA","62800-000","Sem endereço","ARACATI","","Pendente"
"MONDELEZ NORTE NORDESTE","55602-001","Sem endereço","VITÓRIA DE SANTO ANTÃO","","Pendente"
"MONT GRANITOS","62140-000","Sem endereço","MASSAPÊ","","Pendente"
"MONTESINAI","63480-000","Sem endereço","JAGUARETAMA","","Pendente"
"MONTSAL INDUSTRIA E COMERCIO EIRELI","59675-000","Sem endereço","GROSSOS","","Pendente"
"MONTYPLAST","55645-056","Sem endereço","GRAVATÁ","","Pendente"
"MORADA NOVA","62940-000","Sem endereço","MORADA NOVA","","Pendente"
"MORAIS DE CASTRO COMERCIO E IMPORTACAO DE PRODUTOS QUIMICOS","41233-005","Sem endereço","SALVADOR","","Pendente"
"MOSSORO INDUSTRIA E COMERCIO DE PREMOLDADOS LTDA.","59600-970","Sem endereço","MOSSORÓ","","Pendente"
"MOSSORO PLASTICOS","59640-230","Sem endereço","MOSSORÓ","","Pendente"
"MOTOFICINA","61914-035","Sem endereço","MARACANAÚ","","Pendente"
"MOTTU","60411-220","Sem endereço","FORTALEZA","","Pendente"
"MOTTU","54400-410","Sem endereço","JABOATÃO DOS GUARARAPES","","Pendente"
"MOTTU","64019-380","Sem endereço","TERESINA","","Pendente"
"MOVEIS CONFIANCA","61939-130","Sem endereço","MARACANAÚ","","Pendente"
"MOVEIS JB","59162-000","Sem endereço","SÃO JOSÉ DE MIPIBU","","Pendente"
"MOVEIS OSTERNO","62560-000","Sem endereço","MARCO","","Pendente"
"MOVEIS OSTERNO","62560-000","Sem endereço","MARCO","","Pendente"
"MOVEL PART'+Chr(39)+'S  INDUSTRIA E COMERCIO DE PECAS PLASTICAS LTDA","09521-350","Sem endereço","SÃO CAETANO DO SUL","","Pendente"
"MOVENORD - MOVEIS DO NORDESTE LTDA","61800-800","Sem endereço","PACATUBA","","Pendente"
"MOVIMAT COMERCIO DE EQUIPAMENTOS HIDRAULICOS LTDA.","66120-080","Sem endereço","BELÉM","","Pendente"
"MS EQUIPAMENTOS DE TRANSPORTES E LOGIST","60874-052","Sem endereço","FORTALEZA","","Pendente"
"MS FEST","60440-570","Sem endereço","FORTALEZA","","Pendente"
"MS MAQUINAS MOTORES E SERVICOS LTDA","60850-100","Sem endereço","FORTALEZA","","Pendente"
"MS SERVICOS DE USINAGEM LTDA","28898-000","Sem endereço","RIO DAS OSTRAS","","Pendente"
"MS SERVICOS E EQUIPAMENTOS","60764-520","Sem endereço","FORTALEZA","","Pendente"
"MSG INDUSTRIA E COMERCIO DE ALIMENTOS LTDA","62053-105","Sem endereço","SOBRAL","","Pendente"
"MULTICOR - INDUSTRIA TEXTIL LTDA","62823-000","Sem endereço","JAGUARUANA","","Pendente"
"MULTIMAQUINAS SERVICOS E COMERCIO DE EQUIPAMENTOS","60860-100","Sem endereço","FORTALEZA","","Pendente"
"MULTIPLO SERVICOS DE AGROPECUARIA E REPRESENTACOES LTDA","62502-300","Sem endereço","ITAPIPOCA","","Pendente"
"MULTIPOLIPEDRAS","60170-000","Sem endereço","FORTALEZA","","Pendente"
"MULTISAL INDUSTRIA E COMERCIO DE SAL LTDA","59620-592","Sem endereço","MOSSORÓ","","Pendente"
"MULTY BAG","61953-000","Sem endereço","MARANGUAPE","","Pendente"
"MULUNGU PREFEITURA MUNICIPAL","62764-000","Sem endereço","MULUNGU","","Pendente"
"MUNDO VERDE PRODUTOS NATURAIS","60150-162","Sem endereço","FORTALEZA","","Pendente"
"MUSASHI DO BRASIL LTDA","53630-667","Sem endereço","IGARASSU","","Pendente"
"MVS ENGENHARIA CLINICA","60712-025","Sem endereço","FORTALEZA","","Pendente"
"MW MARKETWARE","33233-545","Sem endereço","LAGOA SANTA","","Pendente"
"Madeireira Geovane ","60545-350","Sem endereço","FORTALEZA","","Pendente"
"Marcilene Carvalho","60510-111","Sem endereço","FORTALEZA","","Pendente"
"Marcio  Lima","68448-000","Sem endereço","BARCARENA","","Pendente"
"Marcos  Gadelha","62870-000","Sem endereço","PACAJUS","","Pendente"
"Mardônio Pinturas","62053-105","Sem endereço","SOBRAL","","Pendente"
"Marisol","61809-320","Sem endereço","PACATUBA","","Pendente"
"Metalúrgica MOR SA","54737-200","Sem endereço","SÃO LOURENÇO DA MATA","","Pendente"
"Mundo dos Plasticos LTDA","60821-700","Sem endereço","FORTALEZA","","Pendente"
"Márcio  Galindo","53700-000","Sem endereço","ITAPISSUMA","","Pendente"
"N E SERVICOS DE RECAPAGEM LTDA","61635-365","Sem endereço","CAUCAIA","","Pendente"
"N. C. C. PARTICIPACOES E SERVICOS LTDA - ME","62010-970","Sem endereço","SOBRAL","","Pendente"
"NABLA ENERGIA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"NACIONAL ARCO-IRIS","62785-000","Sem endereço","ACARAPE","","Pendente"
"NACIONAL ARCO-IRIS INDUSTRIA E COMERCIO DE TINTAS LTDA","61939-120","Sem endereço","MARACANAÚ","","Pendente"
"NACIONAL GAS","74490-234","Sem endereço","GOIÂNIA","","Pendente"
